(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=LpBtpejHb2k&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M&index=5')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=33nzbYo-NWg&index=6&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=4ZLD6Q8e-To&index=7&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=1LkfbieuB1w&index=8&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=PaakM1V2Z80&index=9&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=3yf8wKCwhMQ&index=10&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=8Jq2g07UZxQ&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M&index=11')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=ssstg0uxEYI&index=12&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=rV5rFDGV0RQ')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=BxVbsNxD8wY')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=cU6r62yszvc')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=dHLPnhjB65M')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=MojVTaNLmj4')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=yqgh0k1YhnE')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=Fgk9PFSDXZA')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://zh.wikipedia.org/wiki/%E6%94%BF%E5%85%9A')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://zh.wikipedia.org/wiki/%E5%85%AC%E5%85%B1%E8%B2%AC%E4%BB%BB')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9C%8B%E7%8D%A8%E7%AB%8B%E5%AE%A3%E8%A8%80')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://zh.wikipedia.org/wiki/%E4%BA%BA%E6%9D%83%E5%92%8C%E5%85%AC%E6%B0%91%E6%9D%83%E5%AE%A3%E8%A8%80')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=6PoRHkG3Uus')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=2RUX5tIlL9c')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=pE7pY1iVeWo')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=xh6Z5ATy2Zw')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=LI1jQvagEEk')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=uCS1NJw7VyM')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=shTUDpXI0YY')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=I3HrStU4LxI')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=V112-UuNyBs')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=MniGcH1LTi8')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=G7pe1AjTWns')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=r6MiJKsm76g')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=htRJXYLPJqg&list=PLCEEF8E785E36795D&index=6')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=YTQ9mkC_84M')
